re,AppID,URL,Game Title,Release Date,AI Disclosure Type,Disclosure Clarity,Launch Base Price (USD),First Price Change Date,Price Adjustment Count,Current Base Price (USD),Price Tier,Dev Tier,Macro Genre,Is_Multiplayer,Is_Early_Access,Global Review Count,Global Rating %,Mean_Sentiment_Score,Reviews_Analyzed,Positive_Sentiment_Ratio,Theme_AI_Ratio,Theme_Scam_Ratio,Theme_Tech_Ratio,Is_AI_Cohort,Unnamed: 0
Game 70,4294620,https://store.steampowered.com/app/4294620/Life_Inc/,Life Inc.,2026-03-03 00:00:00,1,1,12.99,2026-04-23 00:00:00,2,17.9,1,1,3,1,1,131,80.27,0.6441028169014084,71,0.8873239436619719,0.028169014084507,0.0,0.0845070422535211,1,
Game 71,2181950,https://store.steampowered.com/app/2181950/Zero_Division/,Zero Division,2024-07-11 00:00:00,3,1,12.99,0,0,12.99,1,1,4,1,0,289,80.73,0.581148031496063,127,0.8110236220472441,0.0393700787401574,0.0,0.1574803149606299,1,
Game 72,3405690,https://store.steampowered.com/app/3405690/EA_SPORTS_FC_26/,EA SPORTS FC™ 26,2025-09-25 00:00:00,1,2,69.99,2025-12-04 00:00:00,9,69.99,3,2,3,2,1,100218,50.29,0.2015203333333333,300,0.51,0.03,0.0033333333333333,0.1533333333333333,1,
Game 73,2736020,https://store.steampowered.com/app/2736020/Fuck_You_Witch/,Fuck You Witch,2024-03-29 00:00:00,1,2,9.99,0,0,9.99,1,1,1,1,0,423,85.77,0.5011690476190476,42,0.7380952380952381,0.0,0.0,0.0714285714285714,1,
Game 74,3487060,https://store.steampowered.com/app/3487060/Youtubers_Life_3/,Youtubers Life 3,2026-02-05 00:00:00,1,1,19.99,0,0,19.99,2,1,3,2,1,492,51.37,0.4036117346938775,196,0.6785714285714286,0.0255102040816326,0.0306122448979591,0.1938775510204081,1,
Game 75,2738870,https://store.steampowered.com/app/2738870/Hotel_Business_Simulator/,Hotel Business Simulator,2024-06-04 00:00:00,1,2,12.99,0,0,12.99,1,1,3,1,0,231,49.48,0.1394390243902439,82,0.524390243902439,0.0,0.0853658536585365,0.1829268292682926,1,
Game 76,2967320,https://store.steampowered.com/app/2967320/Grandpa_High_on_Retro/,Grandpa High on Retro,2025-02-07 00:00:00,1,1,7.99,0,0,7.99,1,1,1,1,0,2092,85.1,0.3651483333333333,300,0.6533333333333333,0.06,0.0033333333333333,0.07,1,
Game 77,2779570,https://store.steampowered.com/app/2779570/Archons/,Archons,2024-12-06 00:00:00,3,2,9.99,0,0,9.99,1,1,1,2,0,404,86.0,0.6079505747126437,174,0.8448275862068966,0.0,0.0057471264367816,0.0344827586206896,1,
Game 78,2903710,https://store.steampowered.com/app/2903710/Lost_Lullabies_The_Orphanage_Chronicles/,Lost Lullabies: The Orphanage Chronicles,2025-10-27 00:00:00,1,1,10.99,0,0,10.99,1,1,1,2,1,514,67.97,0.3325454022988506,174,0.6839080459770115,0.0632183908045977,0.0229885057471264,0.132183908045977,1,
Game 79,3013700,https://store.steampowered.com/app/3013700/Candy__Toys_Store_Simulator/,Candy & Toys Store Simulator,2024-09-16 00:00:00,4,1,12.99,0,0,12.99,1,1,3,1,1,197,76.48,0.6060145833333334,96,0.8854166666666666,0.0,0.03125,0.0520833333333333,1,
